Occupation,AI Talent% Relative to Total Headcount,AI-Required Position Retention Rate,AI-Required Position Hire Rate,Average Salary for Positions Without AI Requirements,Average Salary for Positions With AI Requirements,AI_Salary_Premium ,Number of Job Posts Without AI Requirement,Number of Job Posts With AI Requirement
sap consultant,8.82%,98.42%,1.13%," 122,173 "," 139,509 ",14.19%, 251 , 32 
sap fico consultant,6.65%,98.64%,0.00%," 116,068 "," 135,180 ",16.47%, 589 , 37 
sap project,8.91%,97.91%,1.11%," 132,659 "," 142,548 ",7.45%," 1,699 ", 143 
sap sd consultant,4.26%,100.00%,0.00%," 93,605 "," 122,088 ",30.43%, 895 , 32 
sap technical consultant,11.11%,97.37%,2.25%," 117,124 "," 125,867 ",7.46%, 982 , 120 
scheduler,1.07%,94.37%,3.77%," 76,227 "," 77,969 ",2.29%, 832 , 27 
scientific,5.01%,92.86%,5.53%," 137,141 "," 223,427 ",62.92%, 121 , 24 
scientist,3.53%,93.58%,2.22%," 132,268 "," 160,345 ",21.23%," 1,689 ", 405 
scientist i,5.42%,93.31%,1.60%," 95,162 "," 123,995 ",30.30%," 5,624 ", 708 
scrum,5.53%,96.85%,0.98%," 111,982 "," 117,000 ",4.48%," 1,049 ", 114 
sde,9.29%,98.06%,3.50%," 135,521 "," 152,962 ",12.87%," 2,257 "," 1,720 "
sdet,24.23%,99.04%,0.24%," 105,747 "," 136,139 ",28.74%," 1,421 ", 322 
search,12.35%,96.61%,0.56%," 69,071 "," 95,582 ",38.38%," 11,343 "," 1,456 "
secretary,0.97%,96.16%,2.59%," 57,119 "," 106,099 ",85.75%, 420 , 8 
security,1.08%,96.68%,2.64%," 81,104 "," 120,008 ",47.97%," 1,962 ", 74 
security analyst,7.26%,95.48%,1.70%," 104,957 "," 110,862 ",5.63%," 2,113 ", 181 
security architect,18.35%,96.12%,1.00%," 148,050 "," 165,263 ",11.63%," 7,917 "," 2,069 "
security consultant,6.46%,94.75%,3.49%," 112,930 "," 146,820 ",30.01%, 471 , 38 
security engineer,9.09%,95.58%,2.22%," 121,874 "," 143,436 ",17.69%," 2,137 ", 276 
security guard,1.01%,95.11%,5.70%," 40,727 "," 39,925 ",-1.97%," 1,874 ", 28 
security officer,1.04%,94.82%,5.19%," 43,698 "," 48,944 ",12.00%," 1,703 ", 40 
seller,0.45%,95.65%,2.90%," 37,830 "," 36,855 ",-2.58%, 302 , 5 
seo,9.49%,93.61%,1.11%," 78,263 "," 108,859 ",39.09%," 4,403 ", 561 
server,0.37%,98.78%,8.37%," 32,207 "," 31,844 ",-1.13%, 981 , 35 
service,0.43%,91.88%,0.76%," 64,162 "," 96,267 ",50.04%," 1,400 ", 40 
service account,4.69%,96.28%,1.22%," 101,744 "," 118,191 ",16.17%, 774 , 30 
service agent,2.09%,94.92%,4.24%," 40,404 "," 102,853 ",154.56%, 111 , 3 
service analyst,4.15%,95.55%,2.00%," 58,491 "," 68,866 ",17.74%," 1,974 ", 57 
service center,1.57%,95.50%,5.93%," 71,430 "," 77,290 ",8.20%, 601 , 9 
service consultant,1.74%,92.24%,0.00%," 61,739 "," 107,574 ",74.24%, 281 , 9 
service coordinator,1.36%,97.84%,0.00%," 57,606 "," 56,197 ",-2.45%, 946 , 17 
service delivery,4.40%,97.96%,0.40%," 98,823 "," 122,179 ",23.63%," 3,234 ", 152 
service engineer,2.84%,96.75%,0.47%," 84,904 "," 90,661 ",6.78%," 1,378 ", 47 
service operations,2.78%,96.72%,1.32%," 81,916 "," 103,801 ",26.72%," 5,817 ", 80 
service representative,1.06%,98.53%,1.47%," 53,145 "," 64,486 ",21.34%, 711 , 6 
service sales,2.42%,97.77%,1.68%," 86,520 "," 122,814 ",41.95%, 516 , 5 
service support,3.04%,98.37%,0.00%," 68,244 "," 65,657 ",-3.79%, 209 , 4 
service tech,1.88%,93.03%,2.43%," 60,445 "," 63,537 ",5.12%," 7,571 ", 195 
service technician,1.37%,96.15%,2.19%," 55,738 "," 55,510 ",-0.41%," 5,205 ", 117 
services consultant,8.54%,96.72%,1.63%," 114,989 "," 130,371 ",13.38%, 988 , 127 
services engineer,7.77%,96.65%,1.77%," 94,660 "," 113,221 ",19.61%," 2,421 ", 124 
services sales,18.95%,95.27%,1.60%," 121,990 "," 145,801 ",19.52%," 2,596 ", 285 
sharepoint developer,14.51%,94.92%,0.00%," 103,430 "," 112,633 ",8.90%, 891 , 107 
shipping,0.75%,92.13%,5.45%," 46,190 "," 44,398 ",-3.88%," 1,065 ", 15 
shipping receiving,0.89%,93.31%,0.96%," 47,722 "," 49,566 ",3.86%," 3,565 ", 20 
shopper,0.88%,81.84%,0.94%," 40,498 "," 49,646 ",22.59%, 401 , 6 
sigma belt,6.30%,94.34%,1.34%," 105,829 "," 128,101 ",21.05%," 2,291 ", 55 
site,0.81%,94.70%,6.06%," 84,012 "," 72,683 ",-13.49%," 1,235 ", 32 
site engineer,1.95%,89.44%,0.00%," 92,468 "," 101,360 ",9.62%, 225 , 5 
site reliability engineer,17.90%,94.97%,2.36%," 122,344 "," 144,025 ",17.72%," 3,826 ", 799 
social,2.53%,93.27%,5.46%," 71,023 "," 92,863 ",30.75%," 1,704 ", 48 
social media,6.19%,91.31%,4.90%," 59,335 "," 68,687 ",15.76%," 4,639 ", 314 
social media marketing,9.16%,89.31%,7.49%," 48,551 "," 63,740 ",31.28%," 3,488 ", 203 
social worker,1.28%,94.31%,1.18%," 71,672 "," 93,974 ",31.12%," 1,730 ", 33 
software,7.46%,96.41%,4.03%," 106,049 "," 122,445 ",15.46%, 62 , 13 
software analyst,14.02%,97.08%,1.75%," 111,492 "," 113,857 ",2.12%, 90 , 14 
software architect,22.31%,96.03%,1.94%," 156,346 "," 167,499 ",7.13%," 5,290 "," 1,597 "
software consultant,8.06%,96.89%,1.85%," 118,390 "," 127,006 ",7.28%, 93 , 21 
software design engineer,18.09%,96.05%,2.58%," 155,910 "," 163,148 ",4.64%, 784 , 142 
software designer,5.92%,93.05%,3.74%," 139,972 "," 166,741 ",19.13%," 1,061 ", 158 
software developer,10.91%,95.80%,1.48%," 114,992 "," 123,293 ",7.22%," 1,462 ", 242 
software development,11.08%,95.56%,3.03%," 119,387 "," 142,844 ",19.65%, 46 , 13 
software development engineer,17.95%,95.33%,2.79%," 139,878 "," 153,273 ",9.58%," 1,402 ", 362 
software development engineer test,26.15%,96.92%,0.37%," 117,994 "," 128,239 ",8.68%," 1,338 ", 317 
software engg,6.64%,96.88%,0.00%," 125,703 "," 161,196 ",28.24%, 719 , 266 
software engineer,12.40%,95.87%,1.82%," 139,483 "," 148,037 ",6.13%," 3,243 ", 630 
software engineer analyst,17.29%,97.51%,0.90%," 125,539 "," 131,147 ",4.47%, 589 , 116 
software engineer i,29.22%,95.01%,3.04%," 122,842 "," 140,393 ",14.29%," 5,974 "," 1,607 "
software engineer test,34.78%,96.88%,0.33%," 113,701 "," 126,971 ",11.67%," 1,879 ", 345 
software engineering,21.00%,94.50%,4.08%," 131,260 "," 146,348 ",11.49%," 5,816 "," 1,784 "
software engineering analyst,8.23%,96.59%,2.33%," 92,772 "," 113,812 ",22.68%, 484 , 69 
software programmer,7.79%,93.53%,3.07%," 104,827 "," 94,786 ",-9.58%, 28 , 3 
software project,10.74%,92.10%,0.84%," 147,755 "," 169,494 ",14.71%, 601 , 74 
software qa engineer,33.46%,96.90%,0.94%," 125,937 "," 141,796 ",12.59%, 568 , 69 
software quality assurance,14.55%,96.82%,0.63%," 112,202 "," 113,246 ",0.93%, 402 , 39 
software quality assurance engineer,25.60%,96.95%,1.17%," 117,506 "," 126,739 ",7.86%, 487 , 56 
software quality engineer,14.05%,96.07%,0.71%," 117,348 "," 133,309 ",13.60%, 462 , 61 
software test,15.41%,96.25%,1.25%," 122,413 "," 153,960 ",25.77%, 53 , 5 
software test analyst,9.50%,100.00%,2.17%," 108,160 "," 74,837 ",-30.81%, 54 , 5 
software test engineer,15.02%,96.87%,1.14%," 111,044 "," 118,140 ",6.39%, 516 , 53 
software tester,7.50%,97.10%,0.00%," 97,011 "," 72,150 ",-25.63%, 86 , 4 
software testing engineer,12.60%,100.00%,0.00%," 90,614 "," 82,891 ",-8.52%, 123 , 10 
solutions,10.82%,95.95%,2.05%," 122,852 "," 143,928 ",17.16%," 1,045 ", 97 
solutions architect,24.71%,95.84%,1.87%," 150,859 "," 168,866 ",11.94%," 5,521 "," 1,579 "
solutions consultant,20.94%,94.49%,3.10%," 122,787 "," 141,705 ",15.41%," 2,921 ", 555 
solutions engineer,17.30%,92.98%,4.78%," 124,626 "," 143,069 ",14.80%," 2,764 ", 619 
sourcing,1.94%,97.35%,1.77%," 94,331 "," 89,955 ",-4.64%," 1,243 ", 35 
sous chef,0.53%,93.75%,6.25%," 61,597 "," 57,579 ",-6.52%," 1,637 ", 66 
specialty sales representative,1.95%,93.69%,2.45%," 97,504 "," 126,373 ",29.61%," 13,690 ", 485 
spring,2.83%,89.94%,11.37%," 53,935 "," 69,168 ",28.24%," 3,201 ", 146 
sqa engineer,10.20%,97.77%,0.74%," 113,582 "," 145,085 ",27.74%, 294 , 42 
stack developer,16.52%,96.67%,0.77%," 115,674 "," 120,107 ",3.83%," 3,280 ", 737 
stack engineer,15.78%,94.40%,1.26%," 136,057 "," 145,041 ",6.60%," 4,782 "," 1,595 "
staffing,2.59%,93.84%,3.63%," 59,583 "," 74,429 ",24.92%," 1,810 ", 47 
staffing consultant,3.01%,92.37%,6.83%," 58,118 "," 83,163 ",43.09%," 1,378 ", 42 
stage,0.97%,92.08%,3.26%," 47,602 "," 41,292 ",-13.26%, 295 , 6 
statistical programmer,9.96%,95.39%,1.64%," 127,870 "," 137,745 ",7.72%," 1,968 ", 279 
statistician,21.98%,95.17%,5.21%," 119,711 "," 128,148 ",7.05%, 565 , 62 
steward,0.28%,100.00%,0.00%," 35,789 "," 40,249 ",12.46%, 314 , 34 
stock controller,2.51%,81.94%,0.00%," 46,908 "," 53,270 ",13.56%, 298 , 4 
stocker,0.22%,96.26%,7.38%," 34,920 "," 33,352 ",-4.49%," 5,055 ", 55 
stockroom,1.52%,72.81%,0.00%," 39,759 "," 41,934 ",5.47%, 285 , 6 
storage administrator,1.92%,90.00%,0.00%," 86,617 "," 98,963 ",14.25%, 186 , 14 
storage engineer,18.94%,97.96%,0.31%," 120,782 "," 144,367 ",19.53%," 2,114 ", 297 
store,0.40%,96.64%,1.60%," 46,717 "," 44,919 ",-3.85%," 2,587 ", 47 
store operations,2.08%,93.95%,4.19%," 54,388 "," 64,799 ",19.14%," 2,719 ", 43 
store sales,0.39%,92.98%,2.54%," 46,907 "," 43,518 ",-7.23%, 560 , 5 
strategic,7.48%,94.41%,1.44%," 190,861 "," 201,616 ",5.63%," 2,391 ", 479 
strategic account,15.67%,94.18%,4.15%," 115,728 "," 139,572 ",20.60%," 3,671 ", 358 
strategic accounts,14.97%,93.23%,2.59%," 141,946 "," 164,977 ",16.23%," 11,938 "," 1,114 "
strategic initiatives,8.25%,93.48%,2.94%," 181,199 "," 203,779 ",12.46%," 5,664 ", 857 
strategic marketing,15.28%,92.99%,3.65%," 163,642 "," 173,100 ",5.78%," 3,370 ", 421 
strategic planner,5.78%,96.49%,0.00%," 114,232 "," 121,115 ",6.03%, 584 , 34 
strategic planning,7.44%,95.33%,4.71%," 153,425 "," 195,229 ",27.25%," 1,095 ", 72 
strategic sourcing,6.34%,93.51%,2.07%," 133,156 "," 143,596 ",7.84%," 4,270 ", 200 
strategist,15.65%,92.29%,3.28%," 136,530 "," 162,399 ",18.95%," 6,155 "," 1,272 "
strategy,8.95%,94.30%,2.16%," 166,233 "," 181,444 ",9.15%," 2,654 ", 442 
strategy analyst,15.69%,92.57%,3.97%," 95,102 "," 118,844 ",24.96%," 3,078 ", 194 
strategy business development,8.55%,94.17%,2.56%," 191,587 "," 193,173 ",0.83%," 3,907 ", 428 
strategy consultant,16.41%,93.64%,4.55%," 137,387 "," 166,449 ",21.15%," 1,113 ", 162 
stress engineer,3.96%,95.17%,0.45%," 112,751 "," 130,134 ",15.42%," 1,458 ", 71 
structural engineer,1.89%,94.90%,1.70%," 107,754 "," 121,723 ",12.96%," 1,728 ", 60 
student worker,6.39%,91.70%,11.71%," 44,255 "," 41,992 ",-5.11%, 572 , 24 
style,1.34%,88.53%,3.96%," 43,293 "," 45,521 ",5.15%," 2,508 ", 40 
stylist,0.74%,94.79%,1.53%," 49,913 "," 52,536 ",5.26%," 3,104 ", 80 
subject matter,3.27%,98.61%,2.78%," 82,434 "," 120,450 ",46.12%, 619 , 42 
substitute teacher,2.21%,92.78%,6.69%," 58,877 "," 60,663 ",3.03%," 1,017 ", 10 
superintendent,0.79%,97.84%,2.87%," 93,620 "," 103,170 ",10.20%," 1,539 ", 39 
supplier,1.48%,95.00%,0.00%," 116,465 "," 139,941 ",20.16%, 225 , 7 
supplier quality,2.25%,93.75%,3.13%," 106,492 "," 129,499 ",21.60%," 2,762 ", 104 
supplier quality engineer,2.08%,96.68%,1.09%," 90,183 "," 101,441 ",12.48%," 3,250 ", 85 
supply,2.39%,96.84%,1.06%," 89,272 "," 101,554 ",13.76%, 183 , 5 
supply chain,4.36%,94.63%,1.77%," 104,055 "," 107,833 ",3.63%," 2,118 ", 61 
supply chain analyst,11.75%,94.82%,3.12%," 71,365 "," 80,815 ",13.24%," 3,486 ", 89 
supply chain coordinator,3.48%,96.83%,0.58%," 58,908 "," 60,565 ",2.81%, 643 , 23 
supply chain operations,8.05%,92.90%,1.52%," 133,011 "," 133,512 ",0.38%," 1,240 ", 42 
supply chain planner,3.95%,91.77%,1.59%," 80,323 "," 64,451 ",-19.76%, 363 , 6 
supply chain planning,9.18%,94.48%,1.46%," 116,465 "," 146,392 ",25.70%," 2,992 ", 119 
supply planner,5.08%,94.76%,0.00%," 79,993 "," 81,631 ",2.05%, 732 , 11 
supply planning,2.14%,100.00%,0.00%," 98,215 "," 120,775 ",22.97%, 745 , 7 
support,2.25%,95.20%,1.87%," 60,046 "," 84,970 ",41.51%, 518 , 10 
support analyst,6.44%,92.05%,1.82%," 86,171 "," 112,460 ",30.51%, 373 , 32 
support engineer,10.66%,96.65%,1.31%," 104,543 "," 111,692 ",6.84%, 780 , 78 
support services,2.43%,92.48%,4.10%," 117,785 "," 152,007 ",29.05%, 441 , 20 
support technician,5.16%,95.55%,1.16%," 62,333 "," 54,459 ",-12.63%, 217 , 15 
surveyor,1.73%,95.83%,2.17%," 74,208 "," 61,785 ",-16.74%, 573 , 18 
sustainability,4.20%,89.46%,4.56%," 83,914 "," 101,820 ",21.34%," 1,648 ", 62 
sw engineer,7.99%,98.80%,1.81%," 140,909 "," 151,322 ",7.39%, 604 , 76 
swing,0.54%,98.28%,5.30%," 40,918 "," 36,851 ",-9.94%," 2,548 ", 82 
system,4.40%,99.12%,0.44%," 88,444 "," 63,717 ",-27.96%, 109 , 11 
system admin,5.15%,95.12%,0.00%," 94,926 "," 106,329 ",12.01%, 76 , 15 
system administrator,5.49%,96.61%,1.20%," 103,147 "," 119,825 ",16.17%, 678 , 69 
system analyst,9.32%,96.84%,1.17%," 112,940 "," 113,014 ",0.07%, 420 , 38 
system architect,18.64%,96.28%,2.07%," 160,625 "," 168,440 ",4.87%," 1,202 ", 349 
system developer,10.14%,98.00%,0.00%," 110,031 "," 118,189 ",7.41%, 676 , 61 
system engineer,8.07%,96.83%,1.42%," 121,625 "," 123,855 ",1.83%, 894 , 87 
system engineering,10.68%,97.08%,1.71%," 133,288 "," 158,226 ",18.71%," 1,425 ", 229 
system software engineer,21.18%,96.53%,1.60%," 147,342 "," 158,593 ",7.64%," 1,986 ", 978 
system test engineer,10.56%,97.92%,0.87%," 105,194 "," 115,125 ",9.44%," 1,638 ", 129 
systems,3.68%,96.90%,0.00%," 113,049 "," 140,193 ",24.01%, 246 , 11 
systems administrator,14.81%,96.39%,1.63%," 100,713 "," 113,490 ",12.69%," 1,996 ", 113 
systems analyst,8.44%,97.16%,1.57%," 115,837 "," 135,849 ",17.28%, 716 , 56 
systems architect,22.83%,95.93%,2.98%," 163,564 "," 187,712 ",14.76%," 2,785 ", 616 
systems consultant,6.84%,97.22%,1.84%," 122,343 "," 128,877 ",5.34%, 357 , 39 
systems engineer,12.01%,96.23%,1.88%," 122,803 "," 128,674 ",4.78%," 1,788 ", 184 
systems engineering,11.18%,95.12%,2.19%," 141,208 "," 164,889 ",16.77%," 7,126 "," 1,347 "
systems programmer,5.55%,94.23%,3.20%," 111,454 "," 126,500 ",13.50%, 784 , 55 
talent,6.69%,92.36%,3.89%," 100,509 "," 139,277 ",38.57%," 1,485 ", 97 
talent acquisition,8.95%,92.58%,3.28%," 102,023 "," 125,550 ",23.06%," 2,426 ", 170 
talent acquisition consultant,15.04%,94.04%,1.70%," 92,410 "," 110,742 ",19.84%," 4,028 ", 399 
talent acquisition coordinator,3.05%,92.64%,1.38%," 52,180 "," 62,747 ",20.25%," 8,181 ", 304 
talent development,6.71%,91.25%,2.71%," 107,699 "," 134,472 ",24.86%," 4,886 ", 490 
tax,0.95%,94.09%,1.86%," 118,537 "," 131,954 ",11.32%," 1,990 ", 86 
tax accountant,1.52%,93.77%,3.31%," 98,131 "," 105,554 ",7.56%," 2,486 ", 62 
tax analyst,2.87%,93.93%,4.53%," 86,607 "," 104,039 ",20.13%," 3,736 ", 161 
tax consultant,1.35%,95.24%,0.00%," 121,588 "," 135,087 ",11.10%, 829 , 57 
tax preparer,1.93%,91.04%,5.51%," 48,125 "," 64,226 ",33.46%," 1,953 ", 40 
teacher,2.84%,93.76%,6.12%," 65,332 "," 74,565 ",14.13%, 780 , 7 
teaching,12.75%,92.49%,9.92%," 67,466 "," 78,586 ",16.48%, 561 , 20 
tech,1.75%,96.37%,0.89%," 79,910 "," 107,454 ",34.47%, 518 , 14 
tech support,2.17%,95.73%,1.06%," 62,653 "," 60,430 ",-3.55%, 331 , 12 
technical,4.74%,96.84%,2.08%," 133,582 "," 160,561 ",20.20%, 894 , 103 
technical account,7.22%,94.79%,0.70%," 122,835 "," 130,649 ",6.36%," 1,189 ", 154 
technical analyst,5.44%,96.11%,1.57%," 103,202 "," 93,530 ",-9.37%, 138 , 13 
technical architect,8.24%,97.06%,0.39%," 142,190 "," 163,649 ",15.09%, 553 , 93 
technical business analyst,10.02%,98.38%,1.39%," 111,677 "," 113,787 ",1.89%, 925 , 99 
technical consultant,6.06%,95.96%,1.62%," 120,992 "," 131,814 ",8.94%, 156 , 35 
technical designer,0.75%,95.45%,0.00%," 85,693 "," 86,395 ",0.82%, 434 , 10 
technical engineer,3.04%,94.18%,5.15%," 102,872 "," 103,388 ",0.50%, 523 , 31 
technical marketing,8.10%,92.98%,3.72%," 143,119 "," 165,050 ",15.32%, 175 , 13 
technical operations,3.17%,95.67%,2.13%," 130,139 "," 196,846 ",51.26%, 311 , 12 
technical product,17.86%,94.40%,2.68%," 144,143 "," 173,342 ",20.26%," 2,987 ", 685 
technical project,6.20%,95.80%,0.96%," 124,557 "," 132,734 ",6.57%," 1,396 ", 101 
technical recruiter,17.03%,93.91%,2.16%," 76,118 "," 96,522 ",26.81%," 1,313 ", 156 
technical sales,3.28%,95.56%,2.56%," 97,967 "," 102,380 ",4.50%, 332 , 13 
technical sales engineer,2.66%,89.07%,2.30%," 97,820 "," 113,991 ",16.53%, 502 , 12 
technical sales representative,2.10%,93.96%,4.30%," 93,714 "," 108,989 ",16.30%," 1,289 ", 6 
technical service engineer,2.14%,92.58%,0.00%," 81,359 "," 96,804 ",18.98%, 121 , 6 
technical service representative,1.13%,94.28%,2.78%," 64,876 "," 62,212 ",-4.11%, 801 , 18 
technical services,2.07%,97.37%,1.32%," 114,868 "," 157,296 ",36.94%, 162 , 6 
technical support,3.58%,95.82%,1.86%," 75,973 "," 71,243 ",-6.23%, 326 , 14 
technical support agent,2.91%,89.93%,4.16%," 54,805 "," 59,070 ",7.78%, 669 , 20 
technical support analyst,6.25%,95.62%,1.13%," 74,439 "," 82,548 ",10.89%," 1,218 ", 61 
technical support engineer,5.72%,96.53%,1.12%," 97,615 "," 102,392 ",4.89%, 982 , 121 
technical support representative,1.78%,92.97%,1.43%," 57,413 "," 65,930 ",14.84%," 1,658 ", 59 
technical test,12.43%,100.00%,0.00%," 102,526 "," 111,591 ",8.84%, 558 , 41 
technical trainer,3.42%,91.13%,1.94%," 85,608 "," 95,216 ",11.22%, 468 , 32 
technical training,2.79%,94.34%,1.11%," 94,925 "," 119,514 ",25.90%, 734 , 18 
technical writer,5.46%,94.85%,2.04%," 87,931 "," 101,994 ",15.99%," 1,425 ", 215 
technician,2.79%,95.47%,4.68%," 53,535 "," 51,236 ",-4.29%, 969 , 19 
technique,2.29%,90.91%,4.55%," 88,988 "," 134,607 ",51.27%, 88 , 1 
technologist,4.48%,94.70%,1.50%," 96,283 "," 143,239 ",48.77%, 67 , 6 
technology,5.91%,98.08%,0.80%," 133,905 "," 160,970 ",20.21%, 344 , 45 
technology analyst,13.36%,95.24%,2.98%," 101,573 "," 109,619 ",7.92%, 775 , 84 
technology architect,21.93%,96.53%,1.22%," 159,134 "," 177,856 ",11.76%," 4,773 "," 1,487 "
technology consultant,13.04%,94.74%,4.77%," 115,676 "," 124,768 ",7.86%, 120 , 18 
technology officer,13.13%,95.28%,4.40%," 184,544 "," 198,061 ",7.32%, 441 , 99 
telecommunications,2.03%,94.19%,0.00%," 71,863 "," 95,336 ",32.66%, 543 , 12 
telecommunications engineer,4.94%,96.65%,0.59%," 102,224 "," 108,316 ",5.96%, 801 , 27 
telemarketer,3.81%,94.62%,5.91%," 42,592 "," 42,392 ",-0.47%, 198 , 5 
telemarketing,2.59%,94.39%,1.54%," 48,375 "," 89,277 ",84.55%, 343 , 1 
telesales,1.45%,100.00%,0.00%," 51,241 "," 70,556 ",37.70%," 1,319 ", 28 
teller,0.09%,95.45%,0.00%," 39,979 "," 48,803 ",22.07%," 1,502 ", 35 
terminal,1.12%,94.98%,1.44%," 62,181 "," 69,026 ",11.01%," 3,355 ", 18 
test,7.52%,99.12%,0.44%," 101,292 "," 110,855 ",9.44%, 264 , 9 
test analyst,8.32%,98.09%,0.48%," 100,122 "," 92,435 ",-7.68%, 377 , 45 
test consultant,9.46%,100.00%,0.00%," 101,032 "," 112,590 ",11.44%," 1,214 ", 97 
test development engineer,10.12%,98.07%,0.83%," 111,706 "," 131,972 ",18.14%," 2,378 ", 203 
test engineer,10.42%,96.84%,0.84%," 104,104 "," 100,412 ",-3.55%, 921 , 54 
test engineering,6.63%,95.13%,0.97%," 100,116 "," 126,010 ",25.86%," 1,521 ", 115 
test technician,4.46%,94.80%,2.28%," 66,080 "," 69,361 ",4.96%," 2,502 ", 64 
tester,4.92%,98.72%,0.00%," 73,247 "," 92,820 ",26.72%, 223 , 6 
testing,4.02%,92.58%,0.00%," 102,789 "," 110,744 ",7.74%, 57 , 3 
testing engineer,14.76%,95.50%,0.00%," 93,889 "," 83,700 ",-10.85%, 117 , 10 
thesis,27.15%,95.42%,11.26%," 103,269 "," 137,990 ",33.62%, 118 , 4 
thesis student,23.99%,93.22%,8.39%," 101,682 "," 134,848 ",32.62%, 495 , 62 
trade,1.51%,95.00%,0.00%," 105,801 "," 43,812 ",-58.59%, 96 , 1 
trade finance,0.41%,100.00%,0.00%," 96,817 "," 102,219 ",5.58%, 369 , 15 
trade marketing,5.61%,95.83%,0.68%," 79,398 "," 85,696 ",7.93%," 1,301 ", 8 
trader,0.93%,92.80%,1.39%," 127,218 "," 105,541 ",-17.04%, 211 , 1 
trading,1.81%,92.86%,0.00%," 93,391 "," 103,171 ",10.47%, 152 , 6 
traffic,1.19%,96.15%,0.00%," 60,911 "," 60,603 ",-0.51%, 748 , 14 
trainer,0.63%,94.24%,0.00%," 73,658 "," 98,688 ",33.98%, 424 , 18 
training,0.90%,90.98%,1.00%," 68,501 "," 91,519 ",33.60%, 382 , 6 
training consultant,2.54%,94.83%,2.35%," 89,403 "," 106,087 ",18.66%," 1,205 ", 59 
training coordinator,1.72%,92.51%,1.01%," 63,919 "," 73,052 ",14.29%," 1,360 ", 44 
training development,2.39%,93.31%,0.96%," 83,992 "," 96,054 ",14.36%," 1,553 ", 51 
transaction,1.22%,97.83%,0.00%," 82,806 "," 110,392 ",33.31%, 538 , 16 
transaction processing,2.38%,92.27%,3.18%," 63,895 "," 70,341 ",10.09%," 1,083 ", 48 
transformation,6.85%,96.77%,1.59%," 170,549 "," 186,582 ",9.40%," 4,270 ", 766 
transition,2.21%,100.00%,0.00%," 113,612 "," 193,129 ",69.99%, 77 , 6 
translator,6.26%,94.91%,4.13%," 70,353 "," 69,550 ",-1.14%, 588 , 30 
transport,1.28%,94.12%,5.88%," 65,474 "," 85,759 ",30.98%, 715 , 4 
transportation,2.23%,93.72%,2.57%," 73,105 "," 103,526 ",41.61%," 3,396 ", 53 
travel,1.02%,91.32%,5.56%," 61,675 "," 68,661 ",11.33%, 600 , 11 
travel consultant,1.37%,94.83%,3.45%," 52,718 "," 53,512 ",1.51%," 1,021 ", 25 
treasurer,4.08%,92.15%,6.17%," 107,606 "," 138,557 ",28.76%, 124 , 14 
treasury,4.36%,94.55%,1.74%," 119,732 "," 126,663 ",5.79%, 774 , 30 
treasury analyst,4.48%,94.39%,2.49%," 90,761 "," 102,701 ",13.15%," 1,858 ", 96 
truck driver,0.25%,97.67%,1.74%," 46,500 "," 47,859 ",2.92%," 8,588 ", 121 
trust,1.00%,92.50%,3.75%," 110,159 "," 85,833 ",-22.08%, 463 , 15 
trust officer,0.49%,100.00%,0.00%," 86,672 "," 84,223 ",-2.83%, 685 , 23 
ui designer,9.29%,94.32%,0.40%," 104,197 "," 123,529 ",18.55%," 3,124 ", 565 
ui developer,7.01%,99.34%,0.33%," 102,065 "," 121,135 ",18.68%," 1,351 ", 215 
ui ux designer,8.02%,91.42%,4.87%," 104,122 "," 111,609 ",7.19%, 328 , 57 
underwriter,0.68%,94.61%,3.43%," 95,335 "," 105,288 ",10.44%," 1,182 ", 28 
underwriting,2.08%,95.40%,3.29%," 89,601 "," 97,945 ",9.31%," 1,421 ", 35 
unemployed,0.84%,97.61%,2.65%," 47,945 "," 39,077 ",-18.50%, 369 , 2 
universal banker,0.43%,100.00%,0.00%," 47,765 "," 51,503 ",7.83%," 1,040 ", 32 
unix administrator,8.77%,98.53%,1.47%," 97,065 "," 99,369 ",2.37%," 1,013 ", 75 
unix system administrator,9.87%,99.56%,0.44%," 106,021 "," 125,853 ",18.71%, 134 , 10 
user,16.45%,92.95%,3.28%," 152,375 "," 175,992 ",15.50%," 1,148 ", 252 
user designer,13.09%,92.75%,3.77%," 118,944 "," 141,662 ",19.10%," 2,489 ", 572 
user researcher,14.48%,90.48%,5.41%," 88,705 "," 118,296 ",33.36%," 4,770 ", 958 
utility,0.79%,94.44%,0.00%," 44,607 "," 40,036 ",-10.25%," 2,486 ", 31 
ux designer,13.47%,93.21%,2.21%," 119,499 "," 134,165 ",12.27%," 3,105 ", 808 
ux ui designer,11.50%,91.27%,6.38%," 89,108 "," 119,877 ",34.53%, 639 , 87 
validation,3.61%,96.80%,1.60%," 112,705 "," 137,627 ",22.11%, 559 , 12 
validation engineer,6.46%,94.86%,2.26%," 114,267 "," 140,263 ",22.75%," 1,420 ", 59 
vendor,1.22%,92.58%,0.00%," 93,298 "," 130,437 ",39.81%, 69 , 2 
verification engineer,5.99%,97.35%,0.88%," 115,990 "," 149,568 ",28.95%," 2,387 ", 281 
video editor,4.75%,93.68%,4.31%," 71,693 "," 90,882 ",26.76%," 2,026 ", 158 
virtual,10.80%,97.63%,0.43%," 69,482 "," 90,016 ",29.55%, 329 , 22 
visual,0.40%,100.00%,0.00%," 59,529 "," 61,530 ",3.36%," 2,204 ", 54 
